geneName	name	chrom	strand	txStart	txEnd	txSize	cdsStart	cdsEnd	cdsSize
138	PIAS1	chr15	+	68346571	68480404	133833	68346664	68480173	133509
636	ING4	chr12	-	6759703	6772308	12605	6760360	6772267	11907
1314	MTMR2	chr11	-	95566043	95657371	91328	95568453	95657118	88665
858	MCM5	chr22	+	35796115	35820495	24380	35796431	35820248	23817
1761	FAXDC2	chr5	-	154198051	154230213	32162	154199875	154217738	17863
587	IFITM3	chr11	-	319672	320914	1242	319837	320813	976
1162	MAGEE1	chrX	+	75648045	75651746	3701	75648323	75651197	2874
13	LRRC4C	chr11	-	40135750	41481186	1345436	40135919	40137842	1923
1352	RPL36A	chrX	+	100645877	100651142	5265	100645923	100650736	4813
1688	EEF1D	chr8	-	144661866	144679845	17979	144661961	144672251	10290
106	DPY19L2P1	chr7	-	35120898	35225774	104876	35225774	35225774	0
99	BDNF-AS	chr11	+	27528398	27699350	170952	27699350	27699350	0
95	HERC2P2	chr15	-	23282264	23378259	95995	23378259	23378259	0
954	SULT2A1	chr19	-	48373722	48389654	15932	48374711	48389514	14803
81	CAV3	chr3	+	8775485	8788451	12966	8775562	8787553	11991
1471	CAV2	chr7	+	116139654	116148595	8941	116139835	116146175	6340
600	RPS2	chr16	-	2012061	2014827	2766	2012098	2014626	2528
1588	MBNL3	chrX	-	131503342	131547603	44261	131513693	131547537	33844
108	BPI	chr20	+	36932551	36965905	33354	36932613	36965586	32973
300	COL6A3	chr2	-	238232654	238322850	90196	238233416	238305460	72044
987	GSTA3	chr6	-	52761438	52774496	13058	52761603	52770632	9029
974	SNAR-F	chr19	+	51108219	51108342	123	51108342	51108342	0
962	SNAR-G1	chr19	+	49540276	49540404	128	49540404	49540404	0
662	SNORD105	chr19	+	10218326	10218411	85	10218411	10218411	0
1059	SNORD104	chr17	+	62223437	62223517	80	62223517	62223517	0
1420	SNORD96B	chrX	-	109468216	109468288	72	109468288	109468288	0
1243	SNORD94	chr2	+	86362992	86363129	137	86363129	86363129	0
1734	KCNH2	chr7	-	150646515	150675402	28887	150646986	150675001	28015
1151	RDH10	chr8	+	74206836	74237520	30684	74207524	74235271	27747
1556	ABTB1	chr3	+	127391780	127399769	7989	127391868	127399318	7450
926	ZNF501	chr3	+	44771097	44778575	7478	44775913	44776729	816
111	RHOH	chr4	+	40194586	40246384	51798	40245006	40245582	576
1152	ISLR2	chr15	+	74422589	74429143	6554	74425095	74427333	2238
1319	ERAP2	chr5	+	96211643	96255406	43763	96215389	96253309	37920
77	C16orf89	chr16	-	5094122	5116146	22024	5094348	5115909	21561
587	ZCCHC3	chr20	+	278203	280963	2760	278227	279442	1215
